Year,GLD,XUS_TSM,XUS_LCB,XUS_LCV,XUS_LCG,XUS_MCB,XUS_MCV,XUS_MCG,XUS_SCB,XUS_SCV,XUS_SCG,XUS_LT,XUS_IT,XUS_ST,EM_TSM,USA_TSM,USA_LCB,USA_LCV,USA_LCG,USA_MCB,USA_MCV,USA_MCG,USA_SCB,USA_SCV,USA_SCG,USA_LT,USA_IT,USA_ST,USA_BIL,USA_REIT,EUR-TSM,USA_INF
1994,-0.021697511,0.099049011,0.097087599,0.128785046,0.065326199,0.102746815,0.130342863,0.082643912,0.107628692,0.159324219,0.061093442,-0.004080237,0.062324191,0.129181482,-0.075935693,0.003931104,0.013994071,-0.006711015,0.030299735,-0.020465545,-0.03348581,-0.008738809,-0.013543748,0.005814371,-0.029611398,-0.079284436,-0.048075953,0.001058782,0.04629167,0.031707,0.03336996,0.02607442
1995,0.009784736,0.083662316,0.095239933,0.087764979,0.102925398,0.031877494,0.007864834,0.054756894,0.052575127,0.036632748,0.067563651,0.22803124,0.190107294,0.120185596,0.006973492,0.369656698,0.391441626,0.402678054,0.381747471,0.326744024,0.32051738,0.330344121,0.304878048,0.306996334,0.302834008,0.301904404,0.195247659,0.114828639,0.05916667,0.12905,0.186304675,0.0280542
1996,-0.045478036,0.057119471,0.058502351,0.115168532,0.006578379,0.042552623,0.056570436,0.031984295,0.048809988,0.057031408,0.04138508,0.134482584,0.077410759,0.027801816,0.159915411,0.217401011,0.234628347,0.22192431,0.24306673,0.186318432,0.200487195,0.170265446,0.160826753,0.222731648,0.097061202,-0.013597808,0.018279775,0.04414711,0.0539,0.3589301,0.218322053,0.02931204
1997,-0.214401733,-0.005721186,0.037900757,0.057289737,0.020582784,-0.119584111,-0.111167109,-0.127233076,-0.15223243,-0.151993905,-0.152722632,0.050830374,-0.024271671,-0.070474148,-0.167077439,0.316255063,0.341276319,0.334099071,0.347118587,0.251087464,0.345301507,0.165063577,0.242703999,0.360610171,0.134560522,0.148338849,0.092132605,0.064914961,0.05615833,0.189155376,0.203906204,0.0233769
1998,-0.008270159,0.167267172,0.183873922,0.191476568,0.171751681,0.138552636,0.123816029,0.150831547,0.102087202,0.132638374,0.072330665,0.224439188,0.184789869,0.128930255,-0.180084523,0.252747101,0.337817306,0.193614274,0.469879947,0.111057703,0.046808939,0.184817213,0.005811901,-0.022777358,0.032498948,0.139183124,0.110064747,0.072169523,0.05466667,-0.162240794,0.254211249,0.01552279
1999,0.008512856,0.359309241,0.36762461,0.224626739,0.457044219,0.30979992,0.23106855,0.375877252,0.322846473,0.212540589,0.458933837,-0.067881286,-0.045834159,-0.023372133,0.617978703,0.22088552,0.218951294,0.152525879,0.251251531,0.193872253,-0.004752136,0.46157115,0.221456991,0.035919281,0.440486862,-0.091538025,-0.033685926,0.025911534,0.0533,-0.039241572,0.187123911,0.02188027
2000,-0.054435831,-0.159099266,-0.174285196,0.013603986,-0.301231646,-0.093118232,0.017937604,-0.187842875,-0.119870638,-0.006468655,-0.229572738,-0.002197146,-0.025760392,-0.048693578,-0.274558802,-0.083871763,-0.132201601,0.019514804,-0.214624614,0.077504716,0.211605615,-0.063076361,0.037226966,0.25142454,-0.171903839,0.201762083,0.132486596,0.07675845,0.06455833,0.264999079,-0.088112746,0.03376857
2001,0.007469484,-0.206049984,-0.223109153,-0.17349247,-0.265575886,-0.164294997,-0.11399342,-0.208296118,-0.148700627,-0.07399463,-0.234107655,-0.024480606,-0.022160848,-0.027093198,-0.027413683,-0.107914898,-0.149400382,-0.08057365,-0.199496615,-0.04551257,-0.034366448,-0.062644117,0.021059471,0.07338346,-0.041340146,0.038661387,0.074909051,0.086664339,0.03686667,0.125429897,-0.198185049,0.02826171
2002,0.255696203,-0.118955639,-0.144673483,-0.140346554,-0.149134398,-0.059855318,0.009338437,-0.108544647,-0.018577351,0.076362849,-0.119122794,0.286011915,0.238728483,0.192494905,-0.073001216,-0.212644814,-0.227038211,-0.225900776,-0.229539746,-0.180546074,-0.130499796,-0.224252238,-0.190027922,-0.141921541,-0.236741843,0.167941308,0.134562688,0.065568895,0.01725833,0.038538252,-0.140703795,0.01586032
2003,0.198876728,0.434913367,0.390185877,0.483127056,0.320184403,0.535040712,0.567332276,0.511823718,0.59541062,0.632814535,0.549484381,0.179809037,0.1933969,0.192403824,0.578697587,0.309039476,0.262254376,0.29103923,0.24040451,0.374159266,0.387762579,0.362126104,0.457493787,0.468007149,0.446041397,0.021741211,0.030733247,0.021439689,0.01150833,0.359381102,0.430064094,0.02270095
2004,0.046486486,0.227080155,0.200693809,0.236702418,0.168413391,0.280876518,0.342042606,0.234137333,0.320187037,0.356243063,0.285181114,0.157660531,0.123994377,0.091269293,0.262959571,0.117153651,0.092334369,0.125476075,0.062594855,0.188132201,0.249549072,0.134126711,0.183109678,0.195313012,0.171377283,0.077572501,0.035841666,0.009522801,0.01563333,0.309677429,0.239351055,0.02677237
2005,0.17768595,0.167476722,0.145580436,0.149349185,0.140448777,0.223065127,0.239912745,0.208657662,0.250490559,0.283460508,0.215970369,-0.035950716,-0.085660369,-0.102111289,0.322363921,0.060199093,0.046604727,0.065984941,0.026549225,0.120368495,0.164386741,0.080790639,0.079615722,0.098381594,0.062693634,0.087967868,0.02161563,0.01491709,0.03511667,0.121425097,0.119328099,0.03392747
2006,0.231968811,0.257321204,0.271096851,0.302457106,0.247748876,0.251471825,0.306945289,0.197846688,0.188426702,0.209201743,0.169409194,0.064266222,0.076680268,0.094981834,0.296558244,0.155185774,0.15794687,0.219403153,0.109508885,0.13345035,0.148284627,0.117688089,0.153310238,0.20213877,0.108188101,0.012349908,0.028807136,0.037374669,0.05153333,0.353172361,0.368897031,0.03225944
2007,0.319224684,0.130790491,0.149432768,0.125398572,0.184814836,0.072294379,0.05130277,0.092627828,0.070324081,0.098674932,0.044364256,0.072892288,0.10892034,0.108980275,0.392875399,0.057621383,0.06886826,0.000518788,0.131152084,0.052928203,-0.004925562,0.109925017,0.017354547,-0.026982199,0.064614626,0.096166853,0.099964922,0.071676946,0.05268333,-0.162857733,0.144028885,0.02852673
2008,0.043178411,-0.427580511,-0.426257893,-0.449099311,-0.392176893,-0.418260158,-0.389759296,-0.443904147,-0.440239919,-0.390768518,-0.486894594,0.121633728,0.084848247,0.059892317,-0.52691721,-0.365186273,-0.36201281,-0.399498639,-0.332589443,-0.413045527,-0.435180741,-0.394774386,-0.3312749,-0.286322212,-0.372640434,0.265587322,0.144970617,0.068637882,0.02965,-0.369082006,-0.457259605,0.038391
2009,0.250359299,0.336294687,0.318563629,0.351050741,0.279279156,0.356553589,0.289052374,0.409234745,0.416901466,0.383572989,0.453317217,0.0220525,0.070649809,0.061103233,0.764301068,0.281173425,0.248856232,0.194422606,0.317763022,0.379986549,0.358851617,0.403297012,0.346077618,0.308997418,0.380481465,-0.169274596,-0.028202343,0.006209012,0.005558333,0.299128786,0.35213062,-0.003555463
2010,0.292413793,0.119791095,0.089917418,0.048685629,0.140837919,0.202541255,0.162154879,0.230134391,0.219373109,0.200706043,0.239010827,0.042252236,0.026651864,0.00851813,0.191593899,0.169301526,0.133454567,0.138966196,0.121743062,0.262483667,0.229208905,0.297465064,0.27649913,0.239108164,0.316434089,0.090665472,0.080703349,0.028717164,0.003116667,0.286415348,0.064709861,0.01640043
2011,0.089292067,-0.125590054,-0.120814082,-0.149538882,-0.078834424,-0.132120629,-0.154009536,-0.107930393,-0.147850018,-0.148127012,-0.147480423,0.057167099,0.043549775,0.016087006,-0.185559277,0.010302413,0.023653446,0.000226403,0.047814633,-0.023948556,-0.026420625,-0.021047258,-0.01922397,-0.023948822,-0.013339378,0.279728254,0.118917391,0.019307239,0.003033333,0.087474105,-0.131241864,0.03156842
2012,0.082625735,0.172986295,0.181082563,0.182727535,0.179699081,0.145361199,0.138695486,0.158051418,0.155326767,0.16376998,0.147215612,0.111651649,0.059334438,0.011228668,0.190250321,0.162285623,0.159933785,0.180267959,0.14719034,0.162970468,0.156102518,0.171652917,0.168219392,0.184510104,0.151811383,0.04095241,0.034379078,0.005181596,0.002825,0.178266826,0.20841559,0.02069337
2013,-0.273303167,0.229847102,0.221845605,0.220318101,0.223691249,0.25860949,0.279968514,0.243606778,0.252200006,0.274994484,0.229503108,-0.001200478,-0.003678124,-0.009824063,-0.048917947,0.347333974,0.328733768,0.333798198,0.33061524,0.36491468,0.391299341,0.338923605,0.42115823,0.405541795,0.436505303,-0.115576966,-0.038569675,0.00384506,0.001666667,0.02538699,0.279632741,0.01464833
2014,0.00124533,-0.044528364,-0.045272413,-0.064333143,-0.01887134,-0.035753357,-0.046287311,-0.018519521,-0.051166209,-0.052110582,-0.051047358,0.087366637,-0.032031021,-0.09973332,0.007448055,0.118787137,0.128208924,0.116892998,0.143509031,0.139247085,0.151183442,0.128809625,0.05520046,0.041875425,0.068299554,0.215208219,0.058501892,0.007284893,0.001241667,0.304717685,-0.062570805,0.01622223
2015,-0.12106136,-0.008100769,-0.026008389,-0.055622108,0.013204228,0.040699883,0.012679121,0.081914997,0.053202496,0.016124222,0.090113254,-0.045182693,-0.050180762,-0.058990435,-0.152277748,0.00291018,0.014882397,-0.026817299,0.058470707,-0.016465078,-0.028951269,-0.003022962,-0.036321511,-0.067160852,-0.004897125,-0.002088429,0.019096412,0.008419285,0.002266667,0.025119669,-0.006855099,0.001186271
2016,0.081037736,0.032737212,0.020977266,0.058041417,-0.027985627,0.047621926,0.076246543,0.006737237,0.083306184,0.136858105,0.030720902,0.066703766,-0.002523639,-0.027102673,0.118875836,0.133269784,0.114520415,0.152209028,0.08529483,0.169358766,0.240926619,0.099595567,0.188915239,0.26489997,0.113908682,0.016909448,0.018382037,0.014839713,0.006441666,0.086303902,0.00175794,0.01261583
2017,0.12662536,0.271814862,0.258383129,0.256298282,0.260452803,0.310735087,0.291485398,0.339507427,0.310265249,0.303854934,0.317242973,0.103533097,0.105309919,0.100506381,0.315637718,0.225238533,0.234851453,0.145133058,0.307542019,0.215306442,0.178753475,0.25302304,0.187861063,0.127456563,0.253409037,0.070239996,0.021377283,0.006476641,0.01151667,0.050627942,0.291763667,0.0213011
2018,-0.011453914,-0.140254217,-0.129165832,-0.144097531,-0.11052537,-0.16152994,-0.169486355,-0.150653955,-0.183112078,-0.191724876,-0.175693572,-0.001274932,-0.021627456,-0.027813056,-0.144567539,-0.051088999,-0.031379308,-0.062989446,-0.005676601,-0.09090895,-0.133521426,-0.043929491,-0.107679535,-0.147477721,-0.065578094,-0.013723136,0.008807136,0.010900063,0.02188,-0.058366594,-0.144146321,0.0244
2019,0.188311942,0.219629787,0.222309258,0.160568949,0.290021311,0.23093362,0.196509891,0.279792327,0.197649309,0.17438795,0.220167475,0.118441715,0.037002511,0.0045145,0.20305622,0.307588788,0.313360633,0.250816268,0.379675035,0.299730493,0.262505799,0.338863589,0.286209049,0.244409442,0.326224026,0.133126986,0.07339233,0.03786054,0.02208,0.290935286,0.24152933,0.018
2020,0.241694025,0.0906,0.0743,-0.0314,0.1923,0.1054,-0.0092,0.1776,0.132,0.0312,0.2322,0.165720883,0.095522738,0.072051552,0.1524,0.2114,0.2245,0.0063,0.4331,0.2095,0.0105,0.4197,0.189,0.0385,0.339,0.181210732,0.093049396,0.037926623,0.005,-0.0453558,0.0727,0.0117
